Name,Citation_Count,Degree_Centrality,Clustering_Coefficient,Eigenvector_Centrality,Efficiency,K_core
Anne+Combette-Roos,2,1.2374522343437543e-05,1.0,5.8215480602976085e-09,1.0,5
Liliane+Leger,18,1.732433128081256e-05,0.23809523809523808,4.3800542278137856e-08,0.7142857142857143,3
Gabriela+Zloh,7,4.949808937375017e-06,1.0,4.228660888822189e-09,1.0,2
Noriya+Ichikawa,0,9.899617874750034e-06,1.0,7.517856396436816e-07,1.0,4
Jackie+Grant,6,2.4749044686875086e-06,0.0,3.066444396256039e-08,1.0,1
Chiho+Kim,2,1.732433128081256e-05,1.0,5.06559862808428e-07,1.0,7
Uta+Magdans,0,9.899617874750034e-06,1.0,2.6228136373803095e-09,1.0,4
Anna+Vainchtein,0,1.2374522343437543e-05,0.3,1.7632961682916987e-09,0.7666666666666667,3
Monika+Koster,5,2.4749044686875086e-06,0.0,1.8301131434276337e-07,1.0,1
Céline+Portemont,5,1.2374522343437543e-05,1.0,5.84374006732186e-09,1.0,5
Sadie I.+White,10,9.899617874750034e-06,1.0,6.732366984753791e-07,1.0,4
Fabiana+Carvalho,2,4.949808937375017e-06,1.0,2.1981215780019942e-06,1.0,2
Ramya+Nagarajan,1,1.732433128081256e-05,1.0,1.6541362700815165e-05,1.0,7
Andrea+Orbán,4,2.4749044686875086e-06,0.0,1.8810561431015028e-10,1.0,1
Junko+Ishi,5,9.899617874750034e-06,1.0,1.909440020001874e-08,1.0,4
Silvia+Peter,1,1.484942681212505e-05,1.0,3.090125235253142e-09,1.0,6
Yurii I.+Talanov,3,2.96988536242501e-05,1.0,1.2023697613614804e-06,1.0,12
Elena+Polozova,0,2.4749044686875086e-06,0.0,2.7467510498520376e-07,1.0,1
Berit+Hinnemann,40,3.959847149900014e-05,0.575,7.282296761325002e-08,0.8125,12
Ann E.+Pavlik,5,7.424713406062525e-06,1.0,2.982075537266542e-09,1.0,3
Evgeniya+Smetanina,0,1.979923574950007e-05,1.0,9.432900552806444e-11,1.0,8
Katharina+Durstberger-Rennhofer,5,1.732433128081256e-05,0.5238095238095238,5.275133111137985e-09,0.8214285714285714,5
Fitria+Miftasani,0,2.4749044686875086e-06,0.0,1.3008224248774317e-09,1.0,1
Laura-Isabelle+Dion-Bertrand,0,2.96988536242501e-05,0.5454545454545454,3.7645315549112274e-09,0.8076923076923077,7
Lydie+Charon-Gérard,13,7.424713406062525e-06,1.0,9.698337227531059e-09,1.0,3
Samar+Layek,0,1.484942681212505e-05,1.0,1.3985769985513527e-07,1.0,6
Angela+Florio,23,2.2274140218187576e-05,0.8888888888888888,6.094785431039058e-08,0.9555555555555556,8
Anne Marie+Flank,8,1.979923574950007e-05,1.0,2.87324826279448e-08,1.0,8
Pascale+Auban-Senzier,44,1.484942681212505e-05,1.0,1.5369867531537033e-05,1.0,6
Silvia+Ortín,0,9.899617874750034e-06,1.0,2.870673994272744e-07,1.0,4
Mara+Prentiss,281,6.682242065456273e-05,0.19373219373219372,1.7895630764100722e-07,0.6256613756613757,9
Marriane+Rotter,22,1.732433128081256e-05,1.0,2.6497865201897746e-06,1.0,7
Carole+Valot,8,2.4749044686875087e-05,1.0,4.61593974668426e-09,1.0,10
Marina+Litinskaya,26,1.2374522343437543e-05,0.2,7.129511369371266e-09,0.7333333333333333,4
Hosun+Lee,16,4.207337596768765e-05,0.40441176470588236,2.403278679598896e-05,0.7352941176470589,11
Marie+Machacek,76,4.949808937375017e-06,1.0,1.2222124915101534e-08,1.0,2
Yoshimi+Kubo,60,2.7223949155562594e-05,0.7090909090909091,1.3894870227905507e-07,0.8787878787878788,9
Kumiko+Hirochi,4,1.2374522343437543e-05,1.0,8.521954108580151e-13,1.0,5
Isabella+Masina,79,1.732433128081256e-05,0.09523809523809523,2.8611548333092044e-08,0.6607142857142857,4
Danila+Tlisov,0,7.424713406062525e-06,1.0,1.2107411770167435e-09,1.0,3
Aditi+Simha,6,4.949808937375017e-06,1.0,1.7802805260195887e-08,1.0,2
Alessandra Geddo+Lehmann,1,1.979923574950007e-05,0.5714285714285714,6.081549402324081e-08,0.8333333333333334,6
Sylvie+Bourgeois,3,4.207337596768765e-05,0.41911764705882354,3.2743628699043393e-07,0.7418300653594772,8
Lucia+Reggiani,20,1.2374522343437543e-05,1.0,5.085603740611833e-06,1.0,5
Katherine+Richardson,2,9.899617874750034e-06,0.5,5.9289948039335416e-08,0.85,3
Yasaman+Farzan,108,3.217375809293761e-05,0.16666666666666666,2.29953371042152e-07,0.6428571428571429,8
Manuela+Capello,152,2.2274140218187576e-05,0.4722222222222222,1.0899938027159865e-06,0.7888888888888889,8
Ann E.+Nelson,1408,9.899617874750035e-05,0.057692307692307696,8.735783766487931e-07,0.551829268292683,10
Nurten+Akman,1,7.424713406062525e-06,1.0,1.0553288675254154e-08,1.0,3
Véronique+Cayatte,0,7.424713406062525e-06,1.0,2.179612145762967e-11,1.0,3
Seiki+Komiya,1565,0.0004355831864890015,0.11831168831168831,0.0021933504064393077,0.5641371340523883,40
Amy L. Housley+Gaffney,4,7.424713406062525e-06,0.3333333333333333,9.006898440793711e-13,0.8333333333333334,2
Klara+Elteto,33,1.484942681212505e-05,0.6,4.824778638005152e-06,0.8571428571428571,5
Kaori+Tanaka,30,1.2374522343437543e-05,0.3,1.1882800826148844e-06,0.7666666666666667,4
Lisa M.+Banovetz,1,2.2274140218187576e-05,1.0,1.0725559919280555e-06,1.0,9
Małgorzata+Mochol,4,4.949808937375017e-06,1.0,6.386558066305351e-10,1.0,2
Silvia+Imberti,1,1.2374522343437543e-05,1.0,2.296381372775184e-09,1.0,5
Nikita+Arnold,1,9.899617874750034e-06,0.5,4.856339288522644e-08,0.85,3
Miho+Yanagisawa,8,4.949808937375017e-06,1.0,1.3316993036645626e-07,1.0,2
Jennie+D'Ambroise,2,4.949808937375017e-06,1.0,3.9398780364357465e-06,1.0,2
Cécile+Jamois,1,9.899617874750034e-06,1.0,5.696513657085232e-09,1.0,4
Evelyn+Monsay,79,1.2374522343437543e-05,0.3,8.021528764591174e-08,0.7666666666666667,3
Elisabeth+Romotsky,1,2.4749044686875086e-06,0.0,7.923430065223785e-07,1.0,1
Dairene+Uy,4,4.949808937375017e-06,1.0,4.853402763917619e-09,1.0,2
Eliza+Miller-Ricci,39,3.217375809293761e-05,1.0,0.00011706621480757305,1.0,13
Daniela+Paolotti,8,7.424713406062525e-06,1.0,3.306249729852008e-09,1.0,3
Roberta+Cannerozzi,8,9.899617874750034e-06,1.0,1.40663929779685e-07,1.0,4
Giovanna+Panzarini,245,3.464866256162512e-05,0.43956043956043955,4.939056839910062e-06,0.7571428571428571,11
Silvia F.+Fernández-Sabido,3,4.949808937375017e-06,1.0,5.184021006862025e-09,1.0,2
Eileen M.+Spain,3,1.2374522343437543e-05,1.0,1.0491813667713487e-06,1.0,5
Mariana+Graña,80,1.979923574950007e-05,0.35714285714285715,1.4526995526565536e-08,0.75,4
Virginie+Lousse,68,7.919694299800028e-05,0.2620967741935484,5.727611645991322e-07,0.6534090909090909,11
Jeongmi+Park,9,2.7223949155562594e-05,1.0,8.630193841972317e-05,1.0,11
Ruzin+Ağanoğlu,11,2.4749044686875087e-05,1.0,2.3200238660874275e-08,1.0,10
Gillian+Kiliani,0,4.207337596768765e-05,1.0,1.5290445658395427e-07,1.0,17
Monika A. M.+Marte,71,9.899617874750034e-06,0.16666666666666666,4.6007080607947507e-07,0.75,4
Emilie+Sakat,0,5.69228027798127e-05,0.8102766798418972,2.574891988929422e-06,0.9130434782608695,19
Meena+Chaturvedi,15,2.4749044686875086e-06,0.0,2.4130197366397153e-09,1.0,1
Lucia+Reining,2349,0.00031431286752331357,0.08023997000374954,0.00025560884679535557,0.5473056102362205,25
Milena+Imamović-Tomasović,14,2.4749044686875086e-06,0.0,8.144949679355645e-08,1.0,1
Charlotte Froese+p Fischer,58,9.899617874750034e-06,1.0,1.08826500492382e-08,1.0,4
Daniela+Schulze,15,1.2374522343437543e-05,1.0,7.270791371849547e-08,1.0,5
Yoko+Kawamura,0,1.979923574950007e-05,1.0,7.241532156960945e-08,1.0,8
Satsuki+Oda,5,7.424713406062525e-06,1.0,1.1305140284596922e-08,1.0,3
Gisèle+Hadinger,2,7.424713406062525e-06,1.0,2.1661791863680048e-08,1.0,3
Latika+Menon,36,4.702318490506266e-05,0.2046783625730994,4.152983364213887e-05,0.6421052631578947,12
Leslie J.+Root,0,2.4749044686875086e-06,0.0,3.237197527095052e-08,1.0,1
Mariana I.+Bertoni,3,1.979923574950007e-05,1.0,1.401320962590374e-07,1.0,8
